9540	1.9768315344166374E-6	390
9541	1.9768315344166374E-6	363
9542	3.657138338670779E-6	47202
9543	1.9768315344166374E-6	363
9544	1.9768315344166374E-6	374
9545	3.657138338670779E-6	363
9546	1.9768315344166374E-6	363
9547	1.2542669197831443E-5
9548	3.657138338670779E-6	1577
9549	1.9768315344166374E-6	553
955	2.1480992764796583E-5	1346
9550	7.017751947179063E-6	364
9551	1.9768315344166374E-6	364
9552	1.9768315344166374E-6	365
9553	1.9768315344166374E-6	4414
9554	3.657138338670779E-6	843
9555	1.9768315344166374E-6	3973
9556	3.657138338670779E-6	1324
9557	2.5357440409180012E-5	14259
9558	3.657138338670779E-6	22538
9559	1.9768315344166374E-6	395
956	7.017751947179063E-6	4278
9560	1.9768315344166374E-6	365
9561	1.9768315344166374E-6	47218
9562	1.684754675206579E-5	4118
9563	1.9768315344166374E-6	365
9564	1.9768315344166374E-6	365
9565	1.9768315344166374E-6	365
9566	1.9768315344166374E-6	7631
9567	7.017751947179063E-6	365
9568	1.9768315344166374E-6	365
9569	1.9768315344166374E-6	9400
957	1.4411101885897286E-5	71382
9570	1.9768315344166374E-6	6871
9571	1.9768315344166374E-6	374
9572	1.9768315344166374E-6	374
9573	3.657138338670779E-6	365
9574	1.9768315344166374E-6	839
9575	5.0853991222868E-6	365
9576	1.9768315344166374E-6	365
9577	1.9768315344166374E-6	365
9578	1.9768315344166374E-6	366
9579	3.657138338670779E-6	366
958	1.9768315344166374E-6	6
9580	1.9768315344166374E-6	366
9581	1.9768315344166374E-6	38948
9582	3.055803056468649E-5	47242
9583	1.9768315344166374E-6	366
9584	1.9768315344166374E-6	366
9585	1.9768315344166374E-6	366
9586	1.9768315344166374E-6	367
9587	1.9768315344166374E-6	367
9588	1.9768315344166374E-6	3873
9589	3.657138338670779E-6	71400
959	1.9768315344166374E-6	10307
9590	8.446012730795083E-6	36314
9591	7.017751947179063E-6	368
9592	1.9768315344166374E-6	5199
9593	1.9768315344166374E-6	3826
9594	1.9768315344166374E-6	368
9595	1.9768315344166374E-6	368
9596	1.9768315344166374E-6	368
9597	1.9768315344166374E-6	47252
9598	1.9768315344166374E-6	3477
9599	1.9768315344166374E-6	368
96	2.7071350359703664E-4	0
960	3.657138338670779E-6	2226
9600	2.304640859130985E-5	664
9601	1.9768315344166374E-6	368
9602	1.9768315344166374E-6	368
9603	1.9768315344166374E-6	368
9604	1.9768315344166374E-6	368
9605	6.896229007215859E-5	47256
9606	2.7332661210611632E-5	12301
9607	1.9768315344166374E-6	368
9608	1.9768315344166374E-6	368
9609	1.9768315344166374E-6	368
961	5.0853991222868E-6	1323
9610	1.9768315344166374E-6	738
9611	1.7803867828899375E-5	47262
9612	5.3374451429249214E-6	6059
9613	1.9768315344166374E-6	5076
9614	1.9768315344166374E-6	118
